Day/Hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.723375407,0.668165986,0.627788947,0.613780587,0.591532014,0.56845942,0.575875611,0.590707993,0.636029159,0.664869902,0.692062602,0.729967577,0.759632341,0.761280383,0.737383768,0.720903344,0.728319535,0.722551386,0.728319535,0.764576468,0.815665783,0.807425571,0.789297104,0.773640701
2,0.7386198,0.682260183,0.641041955,0.626741754,0.604029669,0.580476396,0.588047091,0.603188481,0.649453838,0.678895429,0.706654644,0.745349306,0.775632086,0.777314462,0.752920001,0.736096235,0.74366693,0.737778612,0.74366693,0.780679216,0.832832891,0.824421008,0.805914865,0.789932287
3,0.7548,0.69785,0.6562,0.64175,0.6188,0.595,0.60265,0.61795,0.6647,0.69445,0.7225,0.7616,0.7922,0.7939,0.76925,0.75225,0.7599,0.75395,0.7599,0.7973,0.85,0.8415,0.8228,0.80665
4,0.7386198,0.682260183,0.641041955,0.626741754,0.604029669,0.580476396,0.588047091,0.603188481,0.649453838,0.678895429,0.706654644,0.745349306,0.775632086,0.777314462,0.752920001,0.736096235,0.74366693,0.737778612,0.74366693,0.780679216,0.832832891,0.824421008,0.805914865,0.789932287
5,0.715753211,0.661118888,0.621162443,0.607300003,0.585283186,0.562450932,0.569789871,0.584467749,0.62931682,0.657857138,0.68476658,0.722276713,0.751632468,0.753263343,0.729615651,0.713306898,0.720645837,0.714937774,0.720645837,0.756525094,0.807082229,0.798927852,0.780988224,0.765494908
6,0.662397838,0.611789202,0.574776916,0.561935919,0.541541394,0.520391516,0.527189691,0.540786041,0.582330444,0.608767791,0.633694433,0.66844066,0.69563336,0.697144066,0.675238835,0.66013178,0.666929955,0.661642485,0.666929955,0.700165477,0.746997349,0.739443821,0.72282606,0.708474357
7,0.639531249,0.590647908,0.554897404,0.542494168,0.522794911,0.502366052,0.508932471,0.522065309,0.562193426,0.587729499,0.611806369,0.645368066,0.671633742,0.673092947,0.651934485,0.637342443,0.643908862,0.638801647,0.643908862,0.676011355,0.721246686,0.713950665,0.697899418,0.684036978
8,0.723375407,0.668165986,0.627788947,0.613780587,0.591532014,0.56845942,0.575875611,0.590707993,0.636029159,0.664869902,0.692062602,0.729967577,0.759632341,0.761280383,0.737383768,0.720903344,0.728319535,0.722551386,0.728319535,0.764576468,0.815665783,0.807425571,0.789297104,0.773640701
9,0.7386198,0.682260183,0.641041955,0.626741754,0.604029669,0.580476396,0.588047091,0.603188481,0.649453838,0.678895429,0.706654644,0.745349306,0.775632086,0.777314462,0.752920001,0.736096235,0.74366693,0.737778612,0.74366693,0.780679216,0.832832891,0.824421008,0.805914865,0.789932287
10,0.7548,0.69785,0.6562,0.64175,0.6188,0.595,0.60265,0.61795,0.6647,0.69445,0.7225,0.7616,0.7922,0.7939,0.76925,0.75225,0.7599,0.75395,0.7599,0.7973,0.85,0.8415,0.8228,0.80665
